id,image_url,label,tags
2310502,https://safebooru.org/images/2217/294ef4801fa5c3590a5e10c870f112ed6f21cc37.png,black_hair,1girl arrow azutarou black_hair black_legwear bow_(weapon) breasts broken broken_weapon cleavage elbow_gloves full_body gloves hair_ornament holding holding_arrow holding_bow_(weapon) holding_weapon iinoya_(oshiro_project) long_hair midriff mismatched_sleeves navel official_art oshiro_project oshiro_project_re partly_fingerless_gloves ponytail quiver seiza sitting solo thigh-highs torn_clothes transparent_background very_long_hair weapon
2918523,https://safebooru.org/samples/2802/sample_e6067a36642e2ebc8210cf7c6db06b897b0c7fcb.jpg,black_hair,1girl bangs black_eyes black_hair bulletproof_vest cotoh_tsumi full_body green_footwear green_skirt ground_vehicle highres holster medium_hair motor_vehicle motorcycle nike on_motorcycle original pleated_skirt shield shirt shoes short_sleeves simple_background sitting skirt solo thigh_holster vest white_background white_shirt
2629440,https://safebooru.org/samples/2522/sample_450f86a5cc65057c7d183670cfbd3fb25bf06658.png,black_hair,1girl absurdres alternate_costume azur_lane bag bangs black_footwear black_hair black_jacket black_legwear blush bow bracelet breasts brown_eyes bry. food full_body hair_bow highres holding holding_food jacket jewelry large_breasts loafers long_hair looking_at_viewer mid-stride midriff navel open_clothes open_jacket outdoors panties panties_under_pantyhose pantyhose petals pleated_skirt ponytail popsicle puddle ripples school_bag school_uniform serafuku shirt shoes skirt solo splashing takao_(azur_lane) thighband_pantyhose underwear very_long_hair white_bow white_panties white_shirt
2796082,https://safebooru.org/images/2685/5c5b90ab3fe58bf1a81e8ad00f7518346c6988c8.png,black_hair,1girl :d animal_ears animal_hat bangs black_bow black_footwear black_hair blush bow braid brown_background bunny_hat commentary dress eyebrows_visible_through_hair fingernails full_body girls_frontline hair_bow hands_up hat hat_bow loafers long_hair long_sleeves looking_at_viewer m99_(girls_frontline) open_mouth puffy_short_sleeves puffy_sleeves rabbit_ears red_bow red_eyes shoes short_over_long_sleeves short_sleeves silltare sitting smile solo striped striped_legwear thigh-highs twin_braids twitter_username two-tone_background vertical-striped_legwear vertical_stripes wariza white_background white_bow white_dress white_headwear white_legwear
2628714,https://safebooru.org/images/2521/794f9712710efcb6c4337ba8e3ecdcd64359d2f8.jpg,black_hair,1girl batta_(ijigen_debris) black_eyes black_hair black_pants blush brown_jacket brown_scarf chibi commentary_request full_body jacket long_sleeves looking_at_viewer mikasa_ackerman open_clothes open_jacket pants scarf shingeki_no_kyojin shirt short_hair simple_background solo standing three-dimensional_maneuver_gear turnip white_background white_shirt
1374164,https://safebooru.org/samples/1321/sample_ae2a3dbccca3b00083e61ada71c5cf3fe2fb90b2.jpg,black_hair,1girl bangs black_hair black_legwear blush bow bowtie buttons cardigan full_body hagiya_masakage hair_bow highres kneehighs leg_up looking_at_viewer love_live!_school_idol_project musical_note open_mouth pleated_skirt red_eyes school_uniform shadow shirt shoes skirt smile solo standing standing_on_one_leg twintails white_background white_shirt yazawa_nico
1928723,https://safebooru.org/images/1846/b61645c30354593bb454e91b4528de2f949383f4.png,black_hair,1girl black_hair breasts cape cleavage dark_skin elbow_gloves fingerless_gloves full_body game_cg gloves hair_ornament large_breasts legs long_hair looking_at_viewer lots_of_jewelry milady_la_dame_mystère pink_eyes sagara_riri serious simple_background solo standing tattoo thighs tokeidai_no_jeanne:_jeanne_à_la_tour_d'horloge wavy_hair white_background
1840860,https://safebooru.org/samples/1759/sample_c4c579c2717f0c2a75f81d24d82fdc627e9f1e8d.jpg,black_hair,1girl absurdres black_hair blue_eyes detached_sleeves dress elbow_gloves full_body gloves headdress highres holding holding_weapon lolita_fashion long_hair looking_at_viewer nishina_mikoto phantom_breaker shoes simple_background solo standing suzuhira_hiro sword thigh-highs weapon white_legwear
2374824,https://safebooru.org/images/2280/d089bcc519e188b007e2fb767c2e700f17d0eade.jpg,black_hair,1girl animal bangs bird black_footwear black_hair boots brown_eyes closed_mouth clouds commentary cross-laced_footwear day fence full_body grape-kun hair_between_eyes headphones highres hood hoodie humboldt_penguin humboldt_penguin_(kemono_friends) kemono_friends knee_boots lace-up_boots looking_at_another looking_down multicolored_hair outdoors paintrfiend penguin petting pink_hair plant rock shiny shiny_hair short_hair sitting smile socks solo streaked_hair white_hair white_legwear zipper
2450571,https://safebooru.org/samples/2353/sample_c85c83f77ce72d5fcc6335b6441023f33628c96f.jpg,black_hair,1girl alternate_costume arm_up bangs black_hair black_ribbon black_skirt blue_ribbon casual from_side full_body grey_shirt hair_ribbon hand_on_own_neck highres houshou_(kantai_collection) kantai_collection long_hair long_skirt long_sleeves looking_at_viewer looking_to_the_side ponytail ribbon shiny shiny_hair shirt shoes simple_background skirt socks solo sparkle_print standing tareme very_long_hair wa_(genryusui) white_background white_legwear
